#SampleID	tube_label	filter	supernatant	lake	site	depth_(m)	date	MC_ELISA	MC_(ppb)	ATX_ELISA	ATX_(ppb)	BMAA_ELISA	BMAA_(ppm)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_1	Calulated_PC_ug/L_1	Avg_Chl_(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_Chl_ug/L(pico_fraction)	Avg_PC(ug/L_or_ppb_or_RFU)_READ_on_Fluor_2	Calulated_PC_ug/L_2	Avg_PE(ug/L_or_ppb_or_RFU)_READ_on_Fluor	Calulated_PE_ug/L(pico_fraction)	sample.id	input	filtered	percentage.of.input.passed.filter	denoised	non.chimeric	percentage.of.input.non.chimeric	read_count_warning	percent_warning
28	WI_BPDP_31m_7-2_20	20		WI	BPDP	31	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
29	WI_BPDP_31m_7-2_GFC	GFC		WI	BPDP	31	7/2/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
30	WI_BPDP_31m_7-2_GFF	GFF	9.5	WI	BPDP	31	7/2/24	0.098646923	BDL	0.180483851	0.003553568	4.402522528	BDL	2.683333333	0.05283247	0.106666667	0.002100173	5.8	0.114196891	2.27	0.044694301									
31	WI_PVA_0.1m_7-12_10	10		WI	PVA	0.1	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
32	WI_PVA_0.1m_7-12_GFC	GFC		WI	PVA	0.1	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
33	WI_PVA_0.1m_7-12_GFF	GFF	8.7	WI	PVA	0.1	7/12/24	0.110783808	BDL	0.192704136	0.002235368	4.98815048	0.057862546	1.37	0.015892	0.063333333	0.000734667	1.866666667	0.021653333	0.9	0.01044									
34	WI_BPDP_18m_7-12_10	10		WI	BPDP	18	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
35	WI_BPDP_18m_7-12_GFC	GFC		WI	BPDP	18	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
36	WI_BPDP_18m_7-12_GFF	GFF	8.5	WI	BPDP	18	7/12/24	0.057860315	BDL	0.135257575	BDL	4.426234331	BDL	1.433333333	0.016689498	0.056666667	0.000659817	2.2	0.025616438	1.13	0.013157534									
37	KA_DP_0-4.5m_6-13_20	20		KA	DP	0-4.5	6/13/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
38	KA_DP_0-4.5m_6-13_GFC	GFC		KA	DP	0-4.5	6/13/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	38	50356	25546	50.73	24345	24007	47.67	ok	warning
39	KA_DP_0-4.5m_6-13_0.2	0.2		KA	DP	0-4.5	6/13/24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	88448	75714	85.6	74747	67485	76.3	ok	warning
40	WA_DPS_0-8m_6-25_20	20		WA	DPS	0-8	6/25/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
41	WA_DPS_0-8m_6-25_GFC	GFC		WA	DPS	0-8	6/25/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	41	82140	65714	80	63690	62231	75.76	ok	warning
42	WA_DPS_0-8m_6-25_GFF	GFF	8.8	WA	DPS	0-8	6/25/24	0.066871622	BDL	0.157085334	0.002764702	3.991422532	BDL	0.396666667	0.006981333	0.033333333	0.000586667	0.58	0.010208	0.8	0.01408	42	33107	16833	50.84	15981	15797	47.71	ok	warning
43	SQ_LS1W_0-3.5m_7-16_10	10		SQ	LS1W	0-3.5	7/16/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
44	SQ_LS1W_0-3.5m_7-16_GFC	GFC		SQ	LS1W	0-3.5	7/16/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	44	29852	13972	46.8	12829	12550	42.04	ok	warning
45	SQ_LS1W_0-3.5m_7-16_GFF	GFF	8.5	SQ	LS1W	0-3.5	7/16/24	0.091049209	BDL	0.153141995	0.001446341	4.480053881	BDL	1.87	0.017661111	0.063333333	0.000598148	3.2	0.030222222	0.9	0.0085	45	75644	61282	81.01	60063	57299	75.75	ok	warning
46	SQ_RSC_7.5m_7-16_10	10		SQ	RSC	7.5	7/16/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
47	SQ_RSC_7.5m_7-16_GFC	GFC		SQ	RSC	7.5	7/16/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	47	50449	39969	79.23	38903	38513	76.34	ok	warning
48	SQ_RSC_7.5m_7-16_GFF	GFF	7.6	SQ	RSC	7.5	7/16/24	0.100673522	BDL	0.206356296	0.006273231	4.36133212	BDL	4.623333333	0.140549333	0.1	0.00304	5.533333333	0.168213333	1.25	0.038	48	94033	77115	82.01	75830	72749	77.37	ok	warning
49	NRL_TR_0-2.5m_7-15_20	20		NRL	TR	0-2.5	7/15/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
50	NRL_TR_0-2.5m_7-15_GFC	GFC		NRL	TR	0-2.5	7/15/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	50	76474	61609	80.56	59610	58833	76.93	ok	warning
51	NRL_TR_0-2.5m_7-15_GFF	GFF	10.5	NRL	TR	0-2.5	7/15/24	0.098764997	BDL	0.137121935	BDL	3.276398634	BDL	0	0	0	0	0.52	0.011494737	0	0	51	62510	53378	85.39	51975	50510	80.8	ok	ok
52	LO_2S_4m_7-12_10	10		LO	2S	4	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									
53	LO_2S_4m_7-12_GFC	GFC		LO	2S	4	7/12/24	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	53	49321	39870	80.84	38702	38271	77.6	ok	warning
54	LO_2S_4m_7-12_GFF	GFF	9.0	LO	2S	4	7/12/24	0.089109693	BDL	0.156931806	0.002003385	4.438138082	BDL	3.43	0.043787234	0.05	0.000638298	1.733333333	0.02212766	1.306666667	0.016680851	54	97956	82905	84.63	81672	78407	80.04	ok	ok
